NTDID,AGENCY,CITY,STATE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME
20075,Port Authority Transit Corporation,CAMDEN,NJ,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission
20076,Westchester County,WHITE PLAINS,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20079,"Liberty Lines Transit, Inc.",Yonkers,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20080,New Jersey Transit Corporation,Newark,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20082,New York City Department of Transportation,NEW YORK,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20084,County of Rockland ,NEW CITY,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20085,Town of Clarkstown ,NEW CITY,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20086,Transportation Resources Intra-County for Physically Handicapped and Senior Citizens,New York,CT,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20089,Village of Spring Valley ,Spring Valley,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20096,Putnam County ,CARMEL,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20098,Port Authority Trans-Hudson Corporation,NEW YORK,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20099,Staten Island Rapid Transit Operating Authority,Staten Island,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20100,MTA Long Island Rail Road,Jamaica,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20117,"Liberty Lines Express, Inc.",Yonkers,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20122,"Academy Lines, Inc.",HOBOKEN,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20126,"Hudson Transit Lines, Inc.",MAHWAH,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20128,Suburban Transit Corporation,NEW BRUNSWICK,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20132,New Jersey Transit Corporation-45,Newark,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20135,Monsey New Square Trails Corporation,Spring Valley,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20136,Queens Surface Corporation,Flushing,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20147,GTJC,Lynbrook,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20149,"Rockland Coaches, Inc.",PARAMUS,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20154,New York Waterway,Weehawken,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20159,"Atlantic Paratrans of NYC, Inc.",New York,CT,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20160,"Community Transit, Inc.",PARAMUS,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20161,DeCamp Bus Lines,MONTCLAIR,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20162,Lafeyette-Greenville IBOA,Jersey City,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20163,"Lakeland Bus Lines, Inc.",DOVER,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20164,Leisure Line,Paramus,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20165,"Olympia Trails Bus Company, Inc.",ELIZABETH,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20166,"Orange-Newark-Elizabeth, Inc.",Elizabeth,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20167,"South Orange Avenue IBOA, c/o: NJ Transit, Carrier Admin.",Newark,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20168,Trans-Hudson Express,Elizabeth,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20170,"Vanpool of New Jersey, Inc.",Newark,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20171,"Private One of New York, LLC, dba: New York Airport Service",Brooklyn,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20175,Private Transportation Corporation,Brooklyn,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20177,"Adirondack Transit Lines, Inc,",HURLEY,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20180,Atlantic Express,Staten Island,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20188,MTA Bus Company,NEW YORK,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20189,"BillyBey Ferry Company, LLC",New York,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20190,Port Imperial Ferry Corporation,WEEHAWKEN,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20192,Bergen County,HACKENSACK,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20195,Gloucester County,West Deptford,NJ,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission
20197,Meadowlands Transportation Brokerage Corporation,WOOD RIDGE,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20198,"TransOptions, Inc.",Cedar Knolls,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20201,County of Cumberland,BRIDGETON,NJ,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission
20202,Essex County,NEWARK,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20204,"Senior Citizens United Community Services of Camden County, Inc.",AUDUBON,NJ,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission
20206,County of Nassau,MINEOLA,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20209,Somerset County,SOMERVILLE,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20212,County of Hunterdon,FLEMINGTON,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
20217,"Hampton Jitney, Inc.",CALVERTON,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
20226,"SeaStreak, LLC",Atlantic Highlands,NJ,"New York-Newark, NY-NJ-CT",Newark,NJPTA,North Jersey Transporttrion Planning Authority
22930,New York City Economic Development Corporation,New York,NY,"New York-Newark, NY-NJ-CT",New York City,NYMTC,New York Metropolitan Transportation Council
30019,Southeastern Pennsylvania Transportation Authority,PHILADELPHIA,PA,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission
30030,Washington Metropolitan Area Transit Authority,WASHINGTON,DC,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments
30034,Maryland Transit Administration,Baltimore,MD,"Baltimore, MD",Baltimore,BMC,Baltimore Metropolitan Council
30040,City of Annapolis,ANNAPOLIS,MD,"Baltimore, MD",Baltimore,BMC,Baltimore Metropolitan Council
30048,County of Howard,ELLICOTT CITY,MD,"Baltimore, MD",Baltimore,BMC,Baltimore Metropolitan Council
30051,"Montgomery County, Maryland",ROCKVILLE,MD,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments
30057,Pennsylvania Department of Transportation,HARRISBURG,PA,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission
30058,City of Fairfax,FAIRFAX,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments
30068,"Fairfax County, VA",FAIRFAX,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments
30070,Potomac and Rappahannock Transportation Commission,WOODBRIDGE,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments
30071,City of Alexandria,ALEXANDRIA,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments
30072,"Frederick County, Maryland",FREDERICK,MD,"Frederick, MD",Washington DC,COG,Metropolitan Washington Council of Governments
30073,Virginia Railway Express,Alexandria,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments
30074,Harford County Maryland,BEL AIR,MD,"Aberdeen-Bel Air South-Bel Air North, MD",Baltimore,BMC,Baltimore Metropolitan Council
30075,Delaware Transit Corporation,DOVER,DE,"Philadelphia, PA-NJ-DE-MD",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission
30077,Borough of Pottstown,POTTSTOWN,PA,"Pottstown, PA",Philadelphia,DVRPC,Delaware Valley Regional Planning Commission
30079,City of Fredericksburg,FREDERICKSBURG,VA,"Fredericksburg, VA",Washington DC,COG,Metropolitan Washington Council of Governments
30080,"Arlington County, Virginia",ARLINGTON,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments
30081,Loudoun County,LEESBURG,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments
30085,"Prince George's County, Maryland",LARGO,MD,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments
30088,"County Commissioners of Charles County, MD",LA PLATA,MD,"Waldorf, MD",Washington DC,COG,Metropolitan Washington Council of Governments
30103,"Martz Group, National Coach Works of Virginia",Fredericksburg,VA,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments
30112,DDOT - Progressive Transportation Services Administration,WASHINGTON,DC,"Washington, DC-VA-MD",Washington DC,COG,Metropolitan Washington Council of Governments
30129,Anne Arundel County,ANNAPOLIS,MD,"Baltimore, MD",Baltimore,BMC,Baltimore Metropolitan Council
30201,City of Baltimore,BALTIMORE,MD,"Baltimore, MD",Baltimore,BMC,Baltimore Metropolitan Council
40008,City of Charlotte North Carolina,CHARLOTTE,NC,"Charlotte, NC-SC",Charlotte,CRTPO,Charlotte Regional Transportation Planning Organization
40022,Metropolitan Atlanta Rapid Transit Authority,ATLANTA,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission
40026,Manatee County Board of County Commissioners,SARASOTA,FL,"Sarasota-Bradenton, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance
40027,Pinellas Suncoast Transit Authority,SAINT PETERSBURG,FL,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance
40029,Broward County Board of County Commissioners,FORT LAUDERDALE,FL,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council
40031,Lakeland Area Mass Transit District,LAKELAND,FL,"Lakeland, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance
40031,Lakeland Area Mass Transit District ,LAKELAND,FL,"Lakeland, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance
40034,County of Miami-Dade ,MIAMI,FL,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council
40035,Central Florida Regional Transportation Authority,ORLANDO,FL,"Orlando, FL",Orlando,MetroPlan,Metro Plan Orlando
40037,"Board of County Commissioners, Palm Beach County",WEST PALM BEACH,FL,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council
40041,Hillsborough Area Regional Transit Authority,TAMPA,FL,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance
40046,Sarasota County ,SARASOTA,FL,"Sarasota-Bradenton, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance
40074,Pasco County Board of County Commissioners,NEW PORT RICHEY,FL,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance
40077,South Florida Regional Transportation Authority,POMPANO BEACH,FL,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council
40078,Cobb County,MARIETTA,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission
40082,County of Douglas,DOUGLASVILLE,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission
40127,Polk County Transit Services Division - Polk County Board of County Commissioners,Winter Haven,FL,"Winter Haven, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance
40135,Georgia Regional Transportation Authority,Atlanta,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission
40138,Gwinnett County Board of Commissioners,LAWRENCEVILLE,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission
40142,City of Canton Transit,Canton,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission
40146,Hernando County Board of County Commissioners,BROOKSVILLE,FL,"Spring Hill, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance
40152,"Miami Lakes - vRide, Inc.",Miami Lakes,FL,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council
40153,"vRide, Inc. - Atlanta",Atlanta,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission
40157,Clayton County Board of Commissioners,Jonesboro,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission
40161,Cherokee County Board of Commissioners,CANTON,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission
40177,Buckhead Community Improvement District,Atlanta,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission
40179,Broward County Community Bus Service,Plantation,FL,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council
40200,Tampa Bay Area Regional Transit Authority,TAMPA,FL,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance
40203,Enterprise Rideshare,Atlanta,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission
40228,Mecklenburg County ,Charlotte,NC,"Charlotte, NC-SC",Charlotte,CRTPO,Charlotte Regional Transportation Planning Organization
40230,City of Atlanta,Atlanta,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission
40258,"The Looper Group, Inc.",St. Petersburg,FL,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance
40259,"Jolley Trolley Transportation of Clearwater, Inc.",Clearwater,FL,"Tampa-St. Petersburg, FL",Tampa,SCTPA,Sun Coast Transporation Planning Alliance
40264,Georgia State Road and Tollway Authority,ATLANTA,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission
42000,Atlanta-Region Transit Link Authority,ATLANTA,GA,"Atlanta, GA",Atlanta,ARC,Atalanta Regional Commission
44929,City of Fort Lauderdale,FORT LAUDERDALE,FL,"Miami, FL",Miami,SEFTC,Southeast Florida Transportation Council
50027,Metro Transit,MINNEAPOLIS,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council
50031,Suburban Mobility Authority for Regional Transportation,DETROIT,MI,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50040,Ann Arbor Area Transportation Authority,ANN ARBOR,MI,"Ann Arbor, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50066,Chicago Transit Authority,CHICAGO,IL,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning
50113,Pace - Suburban Bus Division,ARLINGTON HEIGHTS,IL,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning
50118,Northeast Illinois Regional Commuter Railroad Corporation,CHICAGO,IL,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning
50119,City of Detroit ,DETROIT,MI,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50141,Detroit Transportation Corporation,Detroit,MI,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50146,Madison County Transit District,PONTOON BEACH,IL,"St. Louis, MO-IL",St Louis,EWG,East-West Gateway Council of Governments
50148,Blue Water Area Transportation Commission,PORT HURON,MI,"Port Huron, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50154,Metropolitan Council,MINNEAPOLIS,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council
50155,Metro Mobility,MINNEAPOLIS,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council
50158,University of Michigan Parking and Transportation Services,Ann Arbor,MI,"Ann Arbor, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50180,Livingston County Board of Commissioners,HOWELL,MI,"South Lyon-Howell, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50182,"Pace-Suburban Bus Division, ADA Paratransit Services",ARLINGTON HEIGHTS,IL,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning
50190,City of Chicago Department of Transportation,Chicago,IL,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning
50193,Enterprise Rideshare - Michigan,Farmington Hills,MI,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50213,M-1 Rail,Detroit,MI,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50515,University of Minnesota Transit,MINNEAPOLIS,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council
50516,City of Plymouth,PLYMOUTH,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council
50517,City of Maple Grove,OSSEO,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council
50518,SouthWest Transit,EDEN PRAIRIE,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council
50519,Minnesota Valley Transit Authority,BURNSVILLE,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council
50521,Chicago Water Taxi (Wendella),Chicago,IL,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning
50522,Lake Erie Transportation Commission,Monroe,MI,"Monroe, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
60007,Fort Worth Transportation Authority,Fort Worth,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60008,"Metropolitan Transit Authority of Harris County, Texas",HOUSTON,TX,"Houston, TX",Houston,H-GAC,Houston-Galveston Area Council
60008,"Metropolitan Transit Authority of Harris County, Texas ",HOUSTON,TX,"Houston, TX",Houston,H-GAC,Houston-Galveston Area Council
60011,VIA Metropolitan Transit,SAN ANTONIO,TX,"San Antonio, TX",San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization
60015,City of Galveston ,GALVESTON,TX,"Galveston, TX",Houston,H-GAC,Houston-Galveston Area Council
60041,City of Arlington,ARLINGTON,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60048,Capital Metropolitan Transportation Authority,AUSTIN,TX,"Austin, TX",Austin,CAMPO,Capital Area Metropoltian Planning Organization
60056,Dallas Area Rapid Transit,Dallas,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60068,City of Grand Prairie ,GRAND PRAIRIE,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60070,City of Mesquite,MESQUITE,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60082,The Gulf Coast Center,GALVESTON,TX,"Texas City, TX",Houston,H-GAC,Houston-Galveston Area Council
60084,"Ft.Worth - vRide, Inc.",Arlington,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60085,"Houston - VPSI, Inc.",Houston,TX,"Houston, TX",Houston,H-GAC,Houston-Galveston Area Council
60092,ATC / Vancom,Dallas,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60101,Denton County Transportation Authority,LEWISVILLE,TX,"Denton-Lewisville, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60103,"Fort Bend County, Texas",RICHMOND,TX,"Houston, TX",Houston,H-GAC,Houston-Galveston Area Council
60108,Harris County,HOUSTON,TX,"Houston, TX",Houston,H-GAC,Houston-Galveston Area Council
60113,City of Cleburne,CLEBURNE,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60114,STAR Transit,Terrell,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60115,Public Transit Services,MINERAL WELLS,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60116,"SPAN, Incorporated",DENTON,TX,"Denton-Lewisville, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60130,Alamo Area Council of Governments,SAN ANTONIO,TX,"San Antonio, TX",San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization
60133,McKinney Avenue Transit Authority,DALLAS,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60134,The Woodlands Township,THE WOODLANDS,TX,"Conroe-The Woodlands, TX",Houston,H-GAC,Houston-Galveston Area Council
60269,Texas State University,SAN MARCOS,TX,"San Marcos, TX",Austin,CAMPO,Capital Area Metropoltian Planning Organization
70006,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,St. Louis,MO,"St. Louis, MO-IL",St Louis,EWG,East-West Gateway Council of Governments
80006,Denver Regional Transportation District,DENVER,CO,"Denver-Aurora, CO",Denver,DRCOG,Denver Regional Council of Governments
80108,Denver Regional Council of Governments,Denver,CO,"Denver-Aurora, CO",Denver,DRCOG,Denver Regional Council of Governments
80109,Denver Regional Council of Governments,DENVER,CO,"Denver-Aurora, CO",Denver,DRCOG,Denver Regional Council of Governments
80285,Via Mobility Services,BOULDER,CO,"Boulder, CO",Denver,DRCOG,Denver Regional Council of Governments
90003,San Francisco Bay Area Rapid Transit District,OAKLAND,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90008,City of Santa Monica,SANTA MONICA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90009,San Mateo County Transit District,SAN CARLOS,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90010,City of Torrance,TORRANCE,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90013,Santa Clara Valley Transportation Authority,SAN JOSE,CA,"San Jose, CA",Bay Area,MTC,Metropolitan Transportation Commission
90014,Alameda-Contra Costa Transit District,OAKLAND,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90015,City and County of San Francisco,SAN FRANCISCO,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90016,"Golden Gate Bridge, Highway and Transportation District",SAN FRANCISCO,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
